classreferences
codingguidlines
collaborators
dependencies
discourse
example
extensions
instancevariables
intent
keyimplementationpoints
keymessages
licensecopyright
links
observations
other
preconditions
recommendations
referencetootherresources
responsibilities
subclassesexplanation
todocomments
warnings
